playDispNm,teamAbbr,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playTRB
Al Horford,BOS,34,82,12,3,2,1,0,1,9,3,9
Marcus Smart,BOS,27,76,16,4,2,2,0,1,12,6,4
Josh Richardson,MIA,36,78,16,3,6,0,1,4,11,6,0
Dion Waiters,MIA,24,76,5,2,2,1,0,3,8,2,5
Kelly Olynyk,MIA,24,84,14,1,4,1,3,1,7,3,9
Ben Simmons,PHI,34,82,23,8,1,3,1,3,15,10,7
T.J. McConnell,PHI,31,74,15,8,3,1,0,0,10,7,4
Wesley Matthews,DAL,33,77,19,2,3,3,0,3,9,5,6
Dennis Smith,DAL,31,75,12,8,6,1,0,1,12,5,2
Rudy Gobert,UTA,35,85,6,0,1,0,3,3,5,3,8
Ricky Rubio,UTA,33,76,21,4,5,1,0,3,13,6,7
Joe Ingles,UTA,32,80,13,4,0,3,0,3,12,5,5
Derrick Favors,UTA,30,82,14,1,4,1,1,2,11,7,10
Donovan Mitchell,UTA,27,75,22,2,5,3,0,5,16,9,3
Mike James,PHO,27,73,9,4,1,0,0,3,8,2,3
Alex Len,PHO,22,85,12,0,1,1,1,2,7,3,8
C.J. McCollum,POR,34,75,23,6,1,2,1,5,20,9,5
Jusuf Nurkic,POR,28,83,17,2,3,0,1,4,15,6,9
Pat Connaughton,POR,27,77,13,1,1,0,0,0,5,4,4
Reggie Jackson,DET,32,75,15,7,4,1,0,2,15,6,4
Langston Galloway,DET,18,74,13,0,0,0,0,1,9,5,2
Giannis Antetokounmpo,MIL,38,82,33,5,1,0,0,4,21,14,11
Tony Snell,MIL,32,79,3,3,1,0,0,2,7,1,1
Rashad Vaughn,MIL,21,77,12,2,1,0,0,3,6,4,3
LaMarcus Aldridge,SA,36,83,26,0,1,0,1,3,21,10,8
Pau Gasol,SA,30,84,17,5,0,0,5,2,10,7,7
Danny Green,SA,29,78,10,1,3,4,1,1,10,4,4
Kyle Anderson,SA,24,81,8,3,2,1,1,0,7,4,8
Rudy Gay,SA,24,81,10,2,2,2,0,1,8,3,6
Bojan Bogdanović,IND,33,80,15,2,3,1,0,2,10,5,8
Jamal Murray,DEN,31,76,26,5,1,1,1,4,14,8,1
Wilson Chandler,DEN,30,80,18,1,1,2,1,1,11,7,5
Rondae Hollis-Jefferson,BKN,30,79,18,1,2,0,1,1,12,8,6
Joe Harris,BKN,23,78,16,1,0,0,0,2,11,6,1
Aaron Gordon,ORL,36,81,17,4,3,2,2,4,16,7,9
Terrence Ross,ORL,34,78,17,2,3,1,1,2,15,6,5
Jonathon Simmons,ORL,32,78,27,3,1,3,1,1,15,9,4
Marvin Williams,CHA,31,81,13,3,0,0,2,1,8,6,11
Dwight Howard,CHA,31,83,22,3,5,0,1,4,13,9,10
Dwayne Bacon,CHA,27,79,4,1,0,1,0,3,7,2,8
Tim Frazier,WAS,22,73,3,6,2,1,0,3,2,1,3
De'Aaron Fox,SAC,26,75,2,5,4,0,0,0,8,1,4
Frank Mason,SAC,22,71,11,1,2,1,0,1,10,5,0
